recipe_name,ingredients,calories,protein,fat,carbohydrates
Prince Goût Chocolat,"Céréale 50,7 % (farine de BLÉ 35 %, farine de BLÉ complète 15,7 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de BLE, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique), émulsifiants (lécithine de SOJA, lecithine de tournesol), sel, LAIT écrémé en poudre, lactose et protéines de LAIT, arômes. PEUT CONTENIR OEUF.",467.0,6.3,17.0,69.0
Excellence Noir Prodigieux 90% Cacao,"Pâte de cacao, beurre de cacao, cacao maigre, sucre, vanille.",592.0,10.0,55.0,14.0
Tonik,"Coffret fourré au cacao (41,6%) et à la vanille (208) - Ingrédients Farine de blé, sucre, huile végétale non hydrogénée (huile de palme), filtrat de lait, poudre de cacao Émulsifiant à faible teneur en cacao (322) Lécithine de soja) Agent levant (5000) Sucre artificiel (vanilline) Sel Contient du lait, du blé (gluten) du soja",504.0,4.35,22.2,71.7
Sésame,"Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",467.0,10.0,18.0,64.0
Henry’s,"Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",440.0,7.6471,10.8235,76.4706
Organic 70% Dark Chocolate Bar,"cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #, may contain nuts, milk,",580.0,9.1,42.0,36.0
KING COOKIES,دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب,483.0,5.2,24.0,61.5
Sable coco Henry s 42g,"Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.",443.0,7.62,12.4,73.8
Tartine croustillante Authentique,"Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.",336.0,9.0,1.5,62.0
Excellence Noir Intense 70% Cacao,"Pâte de cacao, sucre, beurre de cacao, vanille.

Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.",566.0,9.5,41.0,34.0
Lightly Sea Salted,"Potatoes, sunflower oil, sea salt. May contain Milk.",476.0,6.2,27.0,49.0
Dark chocolate,"pâte de cacao*, beurre de cacao*, cacao maigre en poudre*, sucre de canne*, extrait de vanille*, * ingrédients issus de l'agriculture biologique",607.0,10.0,50.0,24.0
Excellence Noir Puissant 85% Cacao,"Pâte de cacao, cacao maigre, beurre de cacao, cassonade, vanille.

Peut contenir du lait, des fruits à coque, du soja et des graines de sésame.",584.0,12.5,46.0,22.0
Fourrés Chocolat Noir,"Farine de blé* 39%, Chocolat noir* 25% (pâte de cacao*, sucre de canne*, beurre de cacao*) Sucre de canne* roux non raffiné,  Farine complète de blé* 15%, Huile de tournesol oléique*,  Arôme naturel de vanille,  Lait* écrémé en poudre, Sel de mer, Poudres à lever: carbonates d'ammonium, carbonates de sodium Épaississant: gomme d'acacia* Antioxydant: extraits de romarin* Peut contenir des traces de soja, d'œufs, de fruits à coque, de graines de sésame et de moutarde.",481.0,7.6,20.0,65.0
Extra dark chocolate 74% cacao,"cocoa mass, sugar, cocoa butter, fat reduced cocoa powder, emulsifier: lecithins (soya), natural vanilla flavouring, dark chocolate contains: cocoa solids 74% minimum,",571.0,9.9,42.0,32.0
Henry’s,"farine de froment, sucre, Graisse végétale , Sucre inverti, Agents levants (Bicarbonate d'ammonium, Bicarbonate de sodium), arôme vanille",440.0,7.65,10.8,76.5
Momo black,"Farine de blé, sucre, huile végétale hydrogénée (palme), cacao en poudre (3,4%), régulateur d'acidité (acide citrique (E330), acide tartrique (E334)), poudre à lever (bicarbonate d'ammonium et bicarbonate sodium), émulsifiant végétal (lécithine de soja (E322)) et sel.",497.0,7.0,21.0,70.0
Excellence 70% Cocoa Intense Dark,"Cocoa mass, sugar, cocoa butter, vanilla.",566.0,9.5,41.0,34.0
Eyoo cover,"Sucre, Farine de blé tendre, Graisses végétales (Palme, Karité), Cacao en poudre, Sirop de glucose, Amidon de maïs, Poudre de lait, Poudre de lactosérum, Lait entier en poudre, Masse de cacao, Poudre à lever (Bicarbonate de sodium et d'ammonium), Sel, Emulsifiant (Lécithine de soja (E322), et Vaniline.",452.0,6.0,23.0,55.0
Tartines craquantes au sarrasin imp,"Farine de sarrasin*, sucre de canne blond**, cacao en poudre** (6,3%). *issu de l'agriculture biologique. **ingrédients biologiques issus du Commerce Équitable.",388.0,13.4,2.8,75.0
Pomme 🍏 🍎 Noisette🥜,"Farine de _blé_ 68,5 %, huile de colza, sirop de sucres issu de fruits, jus concentré de pomme 5,3 %, _noisettes_ torréfiées 5,3 %, germe de _blé_ 5,2 %, fibres de chicorée: fructose-oligo-saccharides, extrait de malt d'_orge_, arôme naturel de pomme, émulsifiant : lécithines de colza, amidon de _blé_ , poudres à lever (tartrates de potassium, carbonates de potassium), vitamines B1, B2, B6, B9, PP et E,",453.0,9.8,17.0,62.0
Trios,"Maïs, huile et/ou graisse végétale, arômes, sel et colorant",534.0,5.2,32.1,54.0
Dark Chocolate 70%,"Cocoa Mass, Sugar, Cocoa Butter, Emulsifier: Soya Lecithins, Vanilla Extract.",565.0,8.4,41.5,33.8
Nutella,"Sugar, Palm oil, Hazelnuts, Skimmed milk powder, Low-fat cocoa, Emulsifier: Lecithins (SOY), Vanillin.",539.0,6.3,30.9,57.5
Pringles Original,"Pommes de terre déshydratées, huiles végétales (tournesol, palme, mais) en proportion variable, farine de blé, farine de mais, farine de riz, maltodextrine, émulsifiant (E471), sel, colorant (norbixine de rocou).",534.0,5.9,31.0,56.0
Crunchy oats & honey,"whole grain oat flakes (60%),sugar, refined sunflower oil, honey (3%), salt, cane molasses, emulsifier (sunflower lecithin), gasifier (sodium acid carbonate),",467.0,8.57,18.1,64.3
Figue & son,"Farine complète de blé 26,5%, farine de blé 26,1%, son de blé 19,9%, huile de colza, sucre de canne roux, pâte de figues 5,1%, arôme naturel de figue, arôme naturel, émulsifiant : lécithines de colza, poudres à lever (acide citrique, carbonates de potassium, carbonates de sodium).",450.0,9.3,19.0,54.0
Bitter Extra Kraftig,"Kakaomasse, fettarmes Kakaopulver, Kakaobutter . Kann Schalenfrüchte, Milch und Soja enthalten.",565.0,14.0,49.0,9.0
Nestlé Dessert,"Sucre, pâte de cacao (Afrique de l'Ouest, Amérique du Sud), beurre de cacao, émulsifiant (lécithine), arôme naturel de vanille de Madagascar. Cacao : 53% minimum. Peut contenir : LAIT, FRUITS A COQUE.",548.0,6.0,34.1,50.7
Petit beurre,"Farine de blé, Sucre, Beurre 11%, Fins éclats de caramel (Sucre, Lait écrémé en poudre), Huiles végétales hydrogénée (Palme), Amidon, Œufs entier liquide pasteurisé, Lait écrémé en poudre, Sirop de sucre inverti, poudres à lever (Pyrophosphate acide de sodium, Bicarbonates de sodium, Bicarbonates d'ammonium), sel, émulsifiant (lécithines de soja), arôme (vanilline). *Contient: Blé (céréales contenant du gluten), œufs, soja et lait.",424.0,5.71,15.35,65.7
Pains au lait x10,"Farine de _blé_ 43%, Levain 21% (Farine de _blé_ 11%, Eau, Sel), Sucre, _Œufs_ frais 11%, _Beurre_ pâtissier, Huile de colza, Levure, _Lait_ écrémé en poudre (Équivalent à 10% de lait écrémé reconstitué), Émulsifiant: mono et diglycérides d'acides gras, Sel, Protéines de _blé_, _Gluten_ de blé, Extrait de carotte, Agent de traitement de la farine : acide ascorbique, Protéines de _lait_",353.0,8.6,11.0,55.0
Chocolat au lait,"Sucre, Beurre de cacao, pâte de cacao, Lait écrémé en poudre, lactosérum en poudre (Lait), Beurre concentré, Émulsifiant (Lécithine de soja), Pâte de noisette, Arôme naturel",539.0,6.5,31.0,57.0
Brioche Tranchée Bio 400g,"Farine de BLÉ*/** 54%, ŒUFS entiers*/** 14%, sucre de canne roux*, huile de tournesol*/** 8%, levain* (eau, farines de BLÉ*/** 2% et de SEIGLE*, levures), GLUTEN DE BLÉ*, sel, levure, arôme naturel de vanille* (contient alcool*), extrait de vanille*, levure désactivée. Traces éventuelles de lait, moutarde et soja. *Ingrédients issus de l'Agriculture Biologique. **Ingrédients issus du commerce équitable français.",336.0,8.8,9.4,52.0
Granatapfel Sauerkirsche Fruchtgummi,"Weizenmehl, Wasser, 3% Kartoffelflocken, Roggenmehl, Salz, Hefe, Säureregulator: Natriumacetate; Weizenmalzmehl, Alkohol. Kann Spuren von Soja, Milch, Senf und Sesam enthalten.",138.0,2.88,1.84,27.2
Fruit & Nut Mix,"25% walnuts, 25% almonds, 25% sultanas raisins (24,9% sultanas raisins, sunflower oil), 25% cranberry preparation (15% cranberries, 9,8% sugar, sunflower oil),",504.0,10.8,31.8,40.5
Doux 70% noir subtil,"cocoa mass, sugar, cocoa butter, emulsifier (soya lecithin), vanilla, may contain hazelnuts, almonds, milk,",610.0,6.9,48.0,33.0
La gâche tranchée,"Farine de blé 52%, sucre, beurre frais 10%, œufs entiers frais 8%, eau, crème fraîche 3%, sel, arômes naturels (alcool), levure, gluten de blé, eau de vie, émulsifiant (E471), protéines de lait, levure désactivée, béta carotène",341.0,8.1,12.0,49.0
Sour Cream & Onion,"Dehydrated potatoes, vegetable oils Conflower, corn), rice flour, wheat starch, corn flour, sour cream & onion flavour wheat starch, flavour enhancers (monosodium glutamate, disodium guanylate, disodium inosinate}, onion powder, maltodextrin, salt, dextrose, sunflower oil, sugar, sweet whey powder (milk), potato starch, modified maize starch, acids (citric acid, lactic acid, malic acid), sour cream powder (milk)*, natural and nature identical flavourings onion powder and sour cream yeast extract, glucose syrup, four), emulsifier (E471) colour (annatto). milk.",525.0,7.5,32.5,52.5
Chocolat Noir 92% cacao,"Pâte de cacao, cacao en poudre dégraissé, beurre de cacao, sucre, lait en poudre, pâte de amandes et de noisettes, émulsifiants (lécithines (soja, tournesol)) et arôme.",580.0,15.0,49.0,14.0
Biscoff Creamy,"speculoos 58% (wheat flour, sugar, vegetable oils (palm oil, rapeseed oil), golden syrup, baking powder (sodium acid carbonate), soy flour, salt, cinnamon, rapeseed oil, sugar, emulsifier (soy lecithin), acidifier (citric acid)",584.0,2.9,38.1,57.0
Granola,"Farine de BLÉ 36%, chocolat au LAIT 27 % [sucre, pâte de cacao, beurre de cacao, lactosérum en poudre (de LAIT), LAIT écrémé en poudre, graisses végétales (karité, palme en proportion variable), BEURRE concentré, émulsifiants (lécithines de SOJA, E476), lactose (de LAIT), arôme], huile de palme, farine complète de BLE 12 %, sucre, sirop de sucre, poudres à lever (carbonates de sodium, carbonates d'ammonium), sel, correcteur d'acidité (acide citrique).

Peut contenir : fruits à coque.",491.0,5.9,23.0,62.0
Cracotte Céréales Complètes,"Céréales 98,5 % (farine complète de blé 66,2 %, farine de seigle 12,1 %, farine de blé 10,1 %, farine de riz 3,2 %, farine de blé malté 2,1 %, farine de sarrasin 1,6 %, farine d'orge 1,6 %, semoule de blé 1,6 %), sucre, lactosérum en poudre (de lait), sel, huile de palme, germes de blé. Peut contenir soja, sésame.",377.0,11.0,3.1,73.0
2 Bars Milk and Hazelnuts,"_MILK_ chocolate 31.5% (sugar, cocoa butter, cocoa mass, skimmed _MILK_ powder, concentrated _BUTTER_, emulsifier: lecithins (_SOYA_), vanillin), sugar, palm oil, _WHEAT_ flour, _HAZELNUTS_ (10.5%), skimmed _MILK_ powder, whole _MILK_ powder, chocolate (sugar, cocoa mass, cocoa butter, emulsifier: lecithins (_SOYA_), vanillin), fat-reduced cocoa, emulsifier: lecithins (_SOYA_), raising agents (sodium bicarbonate, ammonium bicarbonate), salt, vanillin.",572.0,8.6,37.3,49.5
Ecuador dark chocolate,"Cocoa Mass, Sugar, Cocoa Butter, Flavouring,",590.0,7.0,45.0,35.0
Chips,"select potatoes, sunflower oil, sea salt. gluten-free.",494.0,7.7,25.4,56.7
Pringles Sare,"cartofi deshidratati, uleiuri vegetale (floarea soarelui), faina de grâu, făină de orez, făină de porumb, emulsificator (E471), maltodextrina, sare, colorant annatto norbixină",530.0,6.1,31.0,55.0
Henry's Sable Coco Biscuit 85G,"Farine de froment, sucre, sucre inverti, noix de coco, poudre de lait, lactosérum, sel, agents levants (bicarbonate d'ammonium, bicarbonate de sodium), arôme coco, graisse végétale.",376.5,6.5,10.5,63.0
Cracotte,"Céréales 98 % (farine de blé 97,5 %, farine de seigle 0,5 %), lait écrémé en poudre, sucre, sel, huile de palme, minéral (pyrophosphate ferique).",387.0,11.0,2.7,78.0
Biscuit raisins,"Farine de blé 60,1%, huile de colza, sucre de canne roux, pâte de raisins 6,9%, germe de blé 5,1%, amidon de blé, raisins secs 2,8%, fibres de blé, magnésium, émulsifiant : lécithines de colza, arôme naturel, poudres à lever (tartrates de potassium, carbonates de sodium), vitamines B1, B6, B9, D et E.",441.0,8.3,14.0,68.0
Nutri+ avoine chocolat,"Flocons d'avoine* 31%, farine de blé*, huile de colza*, sucre roux de canne*, pépites de chocolat noir* 9% (sucre de canne*, pâte de cacao*, beurre de cacao*), billes de riz* soufflé (farine de riz*, sel), fibres d'acacia*, poudres à lever :carbonates d'ammonium, carbonates de sodium, extrait de cacao*, cacao* maigre en poudre, jaune d'œuf* en poudre, sel marin, antioxydant: extraits de romarin*. Ingrédients biologiques.",454.0,8.2,18.0,61.0
Biscuits goût chocolat,"Céréales [farine de froment (33%), céréales complètes (15,1%) (farine complète de froment (15%), farine complète de seigle, farine complète d'orge)]- sucre - matières grasses végétales (palme, palmiste, colza) - cacao maigre (4,7%) - amidons (blé) - sirop de glucose - poudres à lever carbonates d'ammonium et de sodium - sel - lait écrémé en poudre perméat de lactosérum en poudre (lait) - émulsifiant : lecithines de tournesol - arômes. Peut contenir des traces de fruits à coque",463.0,6.5,17.0,69.0
digestives,"Flour (55%) (Wheat Flour, Calcium, Iron, Niacin, Thiamin), Vegetable Oil (Palm), Wholemeal Wheat Flour (16%), Sugar, Partially Inverted Sugar Syrup, Raising Agents (Sodium Bicarbonate, Malic Acid, Ammonium Bicarbonate), Salt. For allergens, including cereals containing gluten, see ingredients in bold. May also contain Milk. BY APPOINTMENT TO HER MAJESTY THE QUEEN BISCUIT MANUFACTURERS UNITED BISCUITS (UIO LIMITED, LONDON FOR SUITABLE FEGETARIAN V Suitable for Vegans 360a4",483.0,7.0,21.3,63.6
Harrys brioche tressee nature au sucre perle sans additifs 500g,"Farine de BLÉ 51,8%, eau, OEUFS frais 12,2%, sucre 11,5%, huile de colza 10,8%, sucre perlé 2,3% (sucre, graisse végétale : karité, arôme), gluten de BLÉ, arômes dont fleur d'oranger (contient alcool), extraits végétaux à pouvoir colorant (curcuma, paprika), levure, fibre de BLÉ, sel, farine d'ORGE maltée, extrait d'acérola. Peut contenir des traces de LAIT, GRAINES DE SÉSAME, FRUITS A COQUE et SOJA.",356.0,8.6,13.0,49.0
Protein Cacahuetes🥜 & Chocolat🍫,"Cacahuètes grillées (38,6%), protéine isolée de soja, oligofructose, sirop de glucose, huiles et graisses végétales (palme, karité, tournesol, colza), sucre, morceaux de chocolat (4%) (sucre, pâte de cacao, beurre de cacao, émulsifiant (lécithines (soja)), maltodextrine, beurre de cacahuètes (1,9%), cacao maigre en poudre, amidon de tapioca, fructose, lactose (lait), humectant (glycérol), émulsifiants (lécithines (soja)), sel de cuisine, arôme naturel (lait), stabilisant (carbonate de calcium). Allergènes: voir les ingrédients en gras. Peut contenir des fruits à coques. Sans gluten.",490.0,25.7,28.2,27.5
Tartines craquantes quinoa - pois chiche,"Farine de riz*, farine de châtaigne* 25%, sel marin. *Produits issus de l'agriculture biologique",378.0,9.6,1.6,79.0
Lightly Salted Low Fat Corn Cakes,"corn (99.8%), sea salt (0.2%).
May contain sesame.",359.0,6.9,1.38,81.4
Figolu,"Farine de blé 34 %, pâte de figues 26 %, sucre, huile de palme, sirop de glucose-fructose, sirop de glucose, sirop de sucre partiellement inverti, sel, poudres à lever (carbonates de sodium, carbonates d'ammonium), correcteur d'acidité (acide citrique). Peut contenir lait.",400.0,4.69,8.12,71.9
Sour Cream & Onion,"Pommes de terre déshydratées, huiles végétales (tournesol, maïs), farine de riz, amidon de BLÉ, farine de maïs, assaisonnement crème acidulée et oignon (amidon de BLÉ, exhausteurs de goût {glutamate monosodique, guanylate disodique, inosinate disodique}, oignon en poudre, maltodextrine, sel, dextrose, sucre, lactosérum doux en poudre {LAIT}, fécule de pomme de terre, amidon de maïs modifié, acidifiants {acide citrique, acide lactique, acide malique}, crème acidulée en poudre {LAIT}, arômes {LAIT}, extrait de levure, sirop de glucose, protéines de LAIT, farine de riz), émulsifiant (E471), maltodextrine, sel, colorant (rocou).",525.0,6.0,30.0,56.0
Crunchy avoine et miel,"Avoine complète (60%), sucre, huiles végétales (tournesol, colza en proportions variables), miel (3%), sel de cuisine, mélasse, émulsifiant (lécithines), poudre à lever (bicarbonate de sodium). Allergènes : voir les ingrédients en gras. Peut contenir du soja, du blé, de l'arachide (cacahuètes) et des fruits à coque.",196.0,3.6,7.6,27.0
Biscuit lait chocolat,"Farine de _blé_ 53,2%, sucre de canne roux, huile de colza, pépites de chocolat 8,3% (pâte de cacao, sucre, beurre de cacao, émulsifiant : lécithines de _soja_), germe de _blé_ 5,5%, farine de _lupin_, _lait_ fermenté écrémé en poudre 2,6%, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), fibres d'_avoine_, calcium, magnésium, arôme naturel, sel de mer, émulsifiant : lécithines de colza, amidon de _blé_, vitamines (E, B6, B9).",453.0,10.0,17.0,62.0
toffifee,"sugar, vegetable fat (palm, shea), hazelnuts, glucose syrup, skimmed milk powder, humectant sorbitol syrup (e420), cocoa mass, condensed skimmed milk, condensed whey, lactose, fat-reduced cocoa, cocoa butter, butterfat, cane sugar syrup, whey powder (from milk), emulsifier soy lecithin (e322), salt, flavouring,",521.0,6.0,29.0,58.9
Crunchy Avoine & Chocolat Noir x 5 x 2 barres de 21 g,"Avoine complète (55%), sucre, huile de tournesol, pépites de chocolat noir (8%) (pâte de cacao, sucre, émulsifiant : lécithine de soja, arôme naturel de vanille), cacao maigre en poudre, miel, sel, mélasse, émulsifiant : lécithine de tournesol, poudre à lever: bicarbonate de sodium, arôme naturel,",473.0,8.7,19.8,61.5
Cookie🍪 cacao pépites Sans Sucre,"Farine de blé 47%, édulcorant : maltitols, huile de colza, pépites de chocolat au maltitol 11,2% (édulcorant : maltitols, pâte de cacao, émulsifiant : lécithines de soja, cacao maigre en poudre, arôme naturel de vanille), fibre de blé, cacao maigre en poudre 4,2%, son d'avoine, sel de mer, émulsifiant : lécithines de tournesol, arôme naturel, poudres à lever (carbonates de sodium, carbonates d'ammonium), édulcorant : sucralose.",414.0,8.0,18.0,61.0
Dark milk chocolate,"Dried Whole _Milk_, Cocoa Mass, Cocoa Butter, Sugar.",597.0,9.9,44.6,36.2
petit déjeuner miel et pépites de chocolat,"Céréales 59,7 % [céréales complètes 39,6 % (farine complète de blé 19,8 %, flocons d'avoine 10,6 %, farine complète d'orge 4,9 %, farine complète de seigle 3,3 %, farine complète d'épeautre (blé) 1 %), farine de blé 20,1 %1, sucre, huile de colza, pépites de chocolat 8,5 % [sucre, pâte de cacao, huiles végétales (palme et karité en proportions variables), dextrose, beurre de cacao, émulsifiant (lécithines de soja)], miel de fleurs 5 %, sirop de glucose-fructose, minéraux (carbonate de calcium, carbonate de magnésium, fer élémentaire), poudres à lever (carbonates de sodium, diphosphates, carbonates d'ammonium), sel, émulsifiants (lécithines de soja, E472e), arôme, lait écrémé en poudre",409.0,5.7,15.0,60.0
Biscuit soja orange,"Farine de _blé_ 57,7%, sucre de canne roux, huile de colza, flocons de _soja_ 7%, germe de _blé_ 5,4%, oranges déshydratées 1,5%, magnésium, sucre, amidon de maïs, jus concentré de citron, émulsifiant : lécithines de colza, sel de mer, arôme naturel d'orange, calcium, poudres à lever : carbonates de sodium, vitamines (E, PP, B5, B6, B1, B9).",444.0,11.0,14.0,66.0
Sablés Anglais L'Original,"Farine (55%) (farine de blé, calcium, fer, niacine, thiamine), huile de palme, farine de blé complète (16%), sucre, poudres à lever (carbonates de sodium, acide malique, carbonates d'ammonium), sirop de sucre inverti, sel.

Peut aussi contenir du lait.",483.0,7.0,21.3,63.6
P'tit Nature Complet,"Farine complète de blé* 76,8%, Sucre de canne* roux, Huile de colza*, Amidon de blé*, carbonates d'ammonium, Sel marin, Arôme naturel de vanille, extraits de romarin.",416.0,7.6,10.0,70.0
